WKT,Area
"POLYGON ((1.01005865294553 52.6690889823969,1.01193923997318 52.6662391030765,1.01501605027686 52.6496052298183,0.999843734263749 52.6406895971443,0.991632921149256 52.6409340530956,0.97733012641241 52.6513500777716,0.977064003126932 52.6705822567195,0.976971992474676 52.6772261462174,0.97804661980547 52.6779885010217,1.01005865294553 52.6690889823969))",Clint Green
"POLYGON ((1.60560188184056 52.6817153424212,1.6037455146591 52.668777496417,1.59632065520662 52.6686858830238,1.59052282941414 52.6507472634406,1.57815208242166 52.6505433888086,1.57519493729122 52.6534455446056,1.56925727723885 52.6536997242233,1.56520240395486 52.668297069561,1.564699078454 52.6688826890516,1.57533490680565 52.6825464634577,1.59848825300519 52.6872546738464,1.60560188184056 52.6817153424212))",Clippesby
"POLYGON ((0.69160104773794 52.6169889521543,0.692432435253205 52.5993151349298,0.691917738730652 52.5986350753099,0.643583595773441 52.5776306785373,0.612304769688088 52.6070965699434,0.629899896979902 52.6412533150075,0.69160104773794 52.6169889521543))",Cockley Cley
"POLYGON ((1.32717773752188 52.8571117787312,1.32816633270394 52.8314545752363,1.32253887399024 52.8295175977377,1.31854231548591 52.826158684934,1.31635611685079 52.8202068589662,1.27303795072045 52.8135454932938,1.271241913727 52.8287108087685,1.27002159269985 52.8299416179687,1.27806697579917 52.8489230558505,1.28094838383942 52.8504425012653,1.28997155762962 52.8624533449421,1.29195601842753 52.8638275116241,1.29862632768359 52.8645687111435,1.32717773752188 52.8571117787312))",Colby
"POLYGON ((0.875397645914983 52.8148351450187,0.881733364193414 52.7922717133891,0.881247441161816 52.7918305038404,0.864908386695989 52.7877933073151,0.844109076366131 52.7893181846489,0.829054104302614 52.8031115863739,0.834714611928582 52.8097209923342,0.85011884941992 52.8136726597511,0.864047498357781 52.8152515833733,0.875397645914983 52.8148351450187))",Colkirk
"POLYGON ((1.23183009105128 52.6276157391574,1.23151844152873 52.6272177315976,1.2310800753524 52.62656416571,1.23057235221725 52.6258918057733,1.230492802056 52.6257950463554,1.23033684571766 52.625744440631,1.23005183708089 52.6251658331188,1.22966619915091 52.6245450047835,1.22930171405573 52.6240908789801,1.22919632852598 52.6239642460974,1.22914844668726 52.6239160874839,1.22909942046781 52.6238724568574,1.22887930571167 52.6238334927097,1.22873674040871 52.6236835908558,1.22867831332566 52.6235925505013,1.22862712880059 52.6234995138835,1.22867940388833 52.6233263108542,1.22894149208509 52.6232930812039,1.22886378070928 52.6231809823361,1.22883898579909 52.6229846992304,1.22879255427895 52.6228357728592,1.22873571171472 52.6227060169415,1.22867424669959 52.6225736889991,1.22851288423003 52.6223289676999,1.22847178267762 52.6222122727533,1.22850378038307 52.6219442908272,1.22847225118445 52.6217167138051,1.22856674720211 52.621615207275,1.22870368238971 52.6215080463753,1.22910148592677 52.6214315427248,1.2292646145414 52.6213389557181,1.22929422518262 52.6209784046349,1.22947669508361 52.6207872595878,1.22987054235335 52.6205768566562,1.23031056692642 52.620371487729,1.23060707588906 52.6202239954039,1.23075167615297 52.6200203912853,1.23084569067584 52.619792086205,1.23087122971521 52.619597127566,1.23075817292992 52.6192458657343,1.23079007873877 52.6191172859167,1.23097572841294 52.6189494347423,1.23103420411661 52.6188606007778,1.23117875776166 52.6186965690444,1.23126581636022 52.6185143206893,1.23131199909154 52.6183187983384,1.23145284745577 52.6181045032021,1.23188877288884 52.6176833940555,1.23210773814664 52.6175065375197,1.23237331080033 52.617440827948,1.23255248999723 52.6173657852055,1.23273133781157 52.6172862544153,1.23304507453281 52.6171122040246,1.23337728132528 52.6169682272851,1.23364491940954 52.6169105528797,1.23387432532713 52.6170158063263,1.23409787195412 52.6170816477652,1.23429574510603 52.6170798391802,1.23431987884067 52.6170687220987,1.21780156000478 52.609960759367,1.20670937652426 52.6198814737411,1.19812493041319 52.6243969150736,1.19552442286775 52.6278929005942,1.20103762124549 52.629772671853,1.2059570781687 52.6271625787968,1.21307022339848 52.6282628487981,1.21301892760729 52.6281268487017,1.2129063688256 52.6278816823538,1.212870212854 52.6277513580553,1.21282010256957 52.6275314770803,1.2128062138825 52.6274428179847,1.21282343052398 52.6273551132462,1.21284667843149 52.6272690434923,1.2129542878151 52.6271644952852,1.21303828178381 52.627120844823,1.21309878109671 52.6270994166335,1.21318615804629 52.6270817555093,1.2136784154113 52.6270432086451,1.21379650211345 52.6270211157965,1.21387617488061 52.6269991665739,1.21395096205376 52.626971054478,1.21402086361092 52.6269367795181,1.21465367305358 52.6266183096477,1.21512942763905 52.6264956675211,1.21524948264196 52.6264600303663,1.21547474920859 52.6263073174391,1.2158692143083 52.6259629421282,1.21603173659769 52.6258011400459,1.21627120591711 52.6256003737029,1.21637093731058 52.6255697842153,1.21643255693089 52.6255636133473,1.21649470352263 52.6255646229814,1.21660281215057 52.6255877670845,1.21684438254957 52.6256774345955,1.21697448453848 52.6256981820589,1.21706196950188 52.62570210031,1.21800653289518 52.6256440524923,1.21820067742496 52.6256513661749,1.21838634269707 52.6256840920622,1.21900496016626 52.62593708084,1.21921259551753 52.6259871952792,1.21939042639253 52.6260138371748,1.21945615846923 52.6260435272368,1.21949379992808 52.6260730818043,1.21951957559127 52.6261020596836,1.2195320104455 52.6261305009935,1.21953418631752 52.6261601206463,1.21952449632482 52.626189163623,1.21948629548984 52.6262324722933,1.21942927377419 52.6262610036613,1.21937555611513 52.6262741560638,1.21907590975477 52.6262993917069,1.21878067973355 52.6263847634836,1.21854631915947 52.6264738758749,1.21851214665655 52.6265116785341,1.21849822866996 52.626543534415,1.21849584704664 52.6265714792461,1.21851409066415 52.6266186492439,1.2185615708236 52.626661426999,1.21861671459801 52.6266878079561,1.2186922448955 52.6267100372179,1.21876531143128 52.6267188430502,1.21893929666276 52.626713213372,1.21901954051423 52.6267191258322,1.21910185274887 52.6267330762207,1.21924104800137 52.6267769573741,1.21963604144765 52.6269631757866,1.21972878699904 52.626998426628,1.21988991111182 52.6270390126213,1.22003798234014 52.6270628656032,1.22015690078447 52.6271324792596,1.2203125990023 52.6272802359616,1.22049170087262 52.6274246577996,1.22063622421832 52.6275007693998,1.22081219103633 52.6275220639145,1.22101706497018 52.6275344775017,1.22138230759393 52.6277179024434,1.22151373696275 52.6277565962209,1.2217146020256 52.6278149850512,1.22181448556421 52.6278266567728,1.22186604604173 52.6278243543169,1.22195650880721 52.6278084021381,1.22203990681562 52.6277566677642,1.22210919091419 52.6277340969471,1.2221472119559 52.6277285654006,1.22220037932077 52.6277280177825,1.22225709070005 52.6277354679239,1.222308561888 52.6277520542578,1.22235787498095 52.6277794916257,1.22240709902177 52.6278258179562,1.22260226332086 52.6278870585623,1.22292736405266 52.6279465605546,1.22313369259748 52.6279787168794,1.22335901959742 52.6280481287531,1.22347459568362 52.6282329484426,1.22352707532233 52.6284239827609,1.22350166368518 52.6286009492844,1.22339326856276 52.6289357644062,1.22339066527549 52.6291013175883,1.22346181078165 52.6294456343851,1.2236073101545 52.6296755067505,1.22361208650194 52.6297203447294,1.22361096245013 52.6297653433546,1.22349324410018 52.6298741916961,1.23051264500264 52.6309587718142,1.23056510548525 52.6309266478549,1.23059168898921 52.6308260930648,1.23039409259247 52.6306920827786,1.23028389941039 52.6305206124498,1.23031631764323 52.6304189991785,1.23060199164218 52.6303041804724,1.23109224066678 52.6301774829092,1.23113091583272 52.630120666848,1.23094839178949 52.6300707864996,1.23088566279777 52.6300419198469,1.23086020841642 52.6300174322228,1.23084488125297 52.6299899701535,1.23084282999813 52.6299621458171,1.23085002635106 52.6299394653252,1.2308650613722 52.6299228664874,1.23093933742947 52.6298677771101,1.23108432398608 52.6297693872459,1.23125730880882 52.629629761649,1.23141872870132 52.6294535774275,1.23155415386091 52.6293257688542,1.23152523989125 52.6291340938012,1.23157118667636 52.628975450893,1.2317823169667 52.6287718284065,1.23203787819952 52.6287297779492,1.23219211073082 52.628636530914,1.23230024622708 52.6285796172487,1.23250344766168 52.6283888009375,1.23269126355628 52.6282298820826,1.23276184785593 52.6281047419563,1.23273067022933 52.6279625939659,1.23261186792016 52.6278147438565,1.23200308956077 52.6277369285063,1.23186949201828 52.6277090971543,1.23185280298128 52.6277032570994,1.23183009105128 52.6276157391574))",Colney
"POLYGON ((1.35974759749534 52.7527626067469,1.37212179242298 52.7396948781406,1.38505073353943 52.7348548775067,1.38732838718267 52.730625886538,1.4035854170822 52.7255738177921,1.3858873343967 52.7233623651307,1.37481341813389 52.722784017117,1.37427689151197 52.7251835026764,1.36942175160721 52.726632804486,1.36176234174834 52.723492538205,1.35608589014966 52.7245201202804,1.35463303155626 52.7304825497859,1.35202397895739 52.7330399719251,1.34589913321432 52.7389583766411,1.34714394361667 52.7453767303338,1.34933854255857 52.7502197821649,1.35660500482273 52.7540532386513,1.35974759749534 52.7527626067469))",Coltishall
"POLYGON ((1.13633242680939 52.6486658177249,1.12800496541812 52.6345536304321,1.09926703399059 52.6309029237021,1.08558996016442 52.6419164866436,1.09330740757813 52.6506218528037,1.13163024152407 52.6565260776697,1.13633242680939 52.6486658177249))",Colton
"POLYGON ((1.15455869294884 52.8214139686178,1.15188079914264 52.8200421149016,1.14514505840126 52.8155485979518,1.11463606443511 52.8159982475654,1.10139028030311 52.8350794972051,1.11326019541588 52.8384639313103,1.11600527247407 52.836198079792,1.12338787620757 52.8335174167697,1.13139450445689 52.8296837035533,1.13551504970705 52.8289103738055,1.13870423300374 52.8265109565652,1.14038819346476 52.8243442221127,1.14692585145413 52.823185598028,1.15455869294884 52.8214139686178))",Corpusty
"POLYGON ((1.75498741738796 52.5011683097926,1.74857791668397 52.5017589391824,1.74388919801792 52.5020217954033,1.73973145567868 52.5019249616701,1.7371348314331 52.5014740039873,1.73454741270853 52.5014986752264,1.73316451599959 52.5025795639377,1.73248392791066 52.5029667540351,1.72654762469164 52.5055200804471,1.72248013157646 52.5053912186416,1.72143919686429 52.5086303972565,1.72181867001038 52.5161807528465,1.72622616579911 52.5247398911804,1.72743463320981 52.5242452721088,1.74233573481787 52.5279022739595,1.74262612012461 52.5274331002026,1.74299770190334 52.5267737095872,1.74297764949712 52.526711380771,1.74304890108215 52.5266821404128,1.7438075015097 52.5253718607332,1.74378592161237 52.5252915907975,1.74396261618321 52.5251150935666,1.7439456176101 52.5250886474598,1.74399375873014 52.524961195418,1.74403559132059 52.5249328861212,1.74471601647007 52.5235711068771,1.74473703046858 52.5234714982158,1.74496968458595 52.5230863458214,1.74502565436443 52.5228776918867,1.74506748438776 52.5228493822677,1.74505984699256 52.5227596760156,1.74512879970268 52.5227035226682,1.74533279670258 52.5223282721268,1.74577267916693 52.5214328422301,1.74586493124288 52.5213039915505,1.74598526084913 52.5209853597666,1.746101576973 52.5207927825584,1.7461458883548 52.5206204766898,1.74661897103573 52.5197689651036,1.74670415127001 52.5197302860792,1.7466833334048 52.5196589872738,1.74706873715082 52.518990149045,1.74729905716222 52.5185780808538,1.74732082763864 52.5184874424338,1.74762867789907 52.5179469881348,1.7479701241079 52.517108638254,1.74797565919854 52.5170005246932,1.74811983872423 52.5167890719275,1.74810608335477 52.5166276009637,1.74820061104823 52.5165256605713,1.7482456741241 52.5163623246855,1.74833274257134 52.5159997704282,1.7492618814213 52.5140993789879,1.74967008149624 52.5130070504254,1.74994481214697 52.5122517634422,1.750197594354 52.511758022578,1.75047577702594 52.5113894031129,1.75049977580887 52.5106330742048,1.75048142817986 52.5104177798809,1.75085828250681 52.5096502551628,1.75084987264457 52.5095515786228,1.75106064257883 52.509257055286,1.75127023033762 52.5086027746118,1.75128587188276 52.5084403706463,1.75140936299199 52.5079867083056,1.75265850186522 52.5053475409872,1.75323131445091 52.5042859485111,1.75424253861115 52.5026617408514,1.75498741738796 52.5011683097926))",Corton
"POLYGON ((1.215633789243 52.6686641908849,1.21996884197226 52.6683689985381,1.22131006788478 52.6665833216662,1.23429145392991 52.6665012292726,1.24127100439097 52.6664565200797,1.24299146678292 52.662922892326,1.24077985765314 52.6598571701878,1.24144311442578 52.6569240495943,1.24477294366143 52.6543343331189,1.24723260353087 52.6518873563859,1.24613751724744 52.6503111599314,1.24750578594154 52.6482882101369,1.24052325155213 52.6511073714127,1.23651546192355 52.6524662217365,1.23377327708812 52.6524221374831,1.23144787946177 52.652723554683,1.23057680738387 52.6541750572845,1.2285837759857 52.6546716237859,1.22626810538348 52.6541140335599,1.22442773025685 52.6530338559676,1.22214303650214 52.6525606305015,1.22100213225389 52.653008085471,1.22104866783271 52.6549699593268,1.21921990854133 52.6553766124319,1.2169395049822 52.6549626577193,1.21520567123662 52.6539984230534,1.21399136955946 52.653724134533,1.21261953382961 52.6534142414168,1.21037422928207 52.6534751449689,1.20935261629835 52.6542167099628,1.20897571241059 52.6545368207375,1.20833967076158 52.6550770080301,1.20605752604564 52.6559716726856,1.20072704189913 52.656651293607,1.19616443570761 52.6571314795418,1.19366499784441 52.6577343219132,1.19115871851906 52.659586549606,1.18950752182294 52.659750014687,1.19363345360044 52.6657338499019,1.19363545630608 52.6657344964878,1.19032170319411 52.668415885293,1.18699782993494 52.6691300014033,1.18172043351047 52.6683703076499,1.18095498992987 52.6711872705731,1.18042377165169 52.6731420442959,1.18933518957158 52.6744614297846,1.20120750747432 52.6711609372631,1.19673465056532 52.6667349831433,1.20317095090071 52.6666957456688,1.21460952298412 52.6666251437663,1.215633789243 52.6686641908849))",Costessey
"POLYGON ((0.934073517313231 52.5996748830764,0.902911533649241 52.5925710003619,0.884396283560152 52.6049977223792,0.901404286922539 52.6138910745993,0.93820661658978 52.6137236588989,0.934073517313231 52.5996748830764))",Cranworth
"POLYGON ((0.47185852209239 52.6030300872154,0.470394725483157 52.6021273946361,0.427156891598605 52.5931411027737,0.424793543516851 52.6163066302305,0.431168306462008 52.621017621632,0.47185852209239 52.6030300872154))",Crimplesham
"POLYGON ((1.24335045170371 52.617198859254,1.24354557300156 52.6171352385188,1.24363624310513 52.616802688661,1.24361757455466 52.6164902229152,1.24361357881279 52.6162762847181,1.24350654245506 52.6160876538701,1.24335038625567 52.6159741162866,1.24322816248171 52.6158398629289,1.24321745695073 52.6158149741582,1.24321641038945 52.6157808271551,1.24322837012187 52.6157427263698,1.24325688249967 52.6157086688738,1.24359942496986 52.6154852356913,1.24367394512063 52.6154139430088,1.24370870196107 52.6153644251591,1.24372917706502 52.6153215941703,1.24373319547796 52.6152360448399,1.24372096362602 52.6151905126507,1.24369706763537 52.6151470988023,1.24366760503601 52.6151083342858,1.24358366321238 52.6150521760027,1.24355352240601 52.615024222366,1.24353350481799 52.6149932932591,1.24352367678269 52.6149602862293,1.24352564558385 52.6149269559583,1.24353760483398 52.6148888551407,1.24355880977572 52.6148558971414,1.24359341878084 52.6148243705701,1.24364277371303 52.6147924399245,1.24369285847292 52.6147703822203,1.24439050162462 52.6145336179793,1.24453218604975 52.6144514902089,1.24436743452724 52.6141817008705,1.24409025490579 52.6135903234507,1.24394571107883 52.6133739414318,1.24382371435354 52.6133026377706,1.24346848129306 52.6133141707519,1.24334576214498 52.6133130365087,1.24321565793133 52.6131520183704,1.24318990901509 52.6129036010897,1.24307940380792 52.6127078701527,1.24307911747751 52.6126440234257,1.24310645236363 52.6123941517277,1.24303984317084 52.612292550268,1.24271484303549 52.6121332737809,1.24261937767739 52.6120810280666,1.242518984468 52.6119021075107,1.24238873073912 52.611598993806,1.24213188819782 52.611282259557,1.242114108591 52.6112215900764,1.24211548162422 52.6111801819126,1.2421289820175 52.6111429383726,1.24215293632849 52.6111072072088,1.24219713532264 52.611065525354,1.24236390981289 52.6109431409085,1.24240636869689 52.6108979091931,1.24242321559794 52.6108659701004,1.2424322259263 52.6108279501543,1.24243084868755 52.6107893153979,1.24241807367676 52.6107563890248,1.242393237738 52.6107201955969,1.24233034668813 52.6106688561168,1.24209131288389 52.6105530906715,1.24189118142164 52.6104839253531,1.24176778830469 52.6104135573888,1.24167688087462 52.6102829418684,1.24158382072148 52.6101631775605,1.24168515327004 52.6099949201633,1.2420607721393 52.6096797492801,1.24241829468678 52.6093596766485,1.24262608026156 52.6092325707543,1.24280868241064 52.6090845697802,1.24297839644806 52.6089621037107,1.24363007907482 52.6085044597021,1.24390517000856 52.6084285693797,1.24436644418332 52.6083331853775,1.24491987174106 52.6082253802023,1.24519643293974 52.6081494465135,1.24551945701567 52.6080425592768,1.24562303198203 52.6078049863635,1.24568550456799 52.6076908533333,1.24591535849621 52.607323007536,1.24602575258307 52.6071976671266,1.24633516363335 52.6071864829876,1.24672068343059 52.6071057583421,1.24698673004671 52.6069077958279,1.24707811238147 52.606845031759,1.24730537047923 52.6068217090595,1.24741496181416 52.6067854259314,1.24749821493562 52.6066527344954,1.24767770936582 52.6066028414267,1.24775526346538 52.6065728332081,1.24796253038656 52.6065788372995,1.2481182497889 52.6066069409437,1.2482117695355 52.6066529398849,1.24829442521936 52.6067118280331,1.24849452139458 52.6067207262742,1.24866052179844 52.6067080759915,1.24881702460455 52.6066669066335,1.24894004185137 52.6065924805198,1.2494913112725 52.6064559337027,1.2497529116428 52.6063777019836,1.25010182729053 52.6063015689067,1.25044335812213 52.6062454235197,1.25070192840172 52.6061861594357,1.25085321845824 52.6061145521863,1.25079958108671 52.6060485732626,1.2507968675122 52.6059919880353,1.25098246847076 52.6058052193595,1.25100493869282 52.6057695270821,1.25102500390065 52.6057213097998,1.25103749822401 52.6056706023809,1.25103325538419 52.6055933738449,1.25099087326921 52.6054200618598,1.25099260590077 52.6053237826052,1.25110879943698 52.6052171644909,1.25155088484656 52.6049630921451,1.25165872796164 52.604923255606,1.25170719034752 52.604899440152,1.2518056006261 52.6048319824099,1.25186862862689 52.6047654967035,1.25195100004355 52.6046211343755,1.25203924524066 52.6045161825093,1.25208637700479 52.6044744162085,1.25219142540131 52.6043968827359,1.25239453776789 52.6042671895517,1.25278501955827 52.6041143594619,1.25289146257572 52.6040556736014,1.25296427518411 52.6039817234334,1.25301430912806 52.6038994056619,1.25311585997775 52.6035953281111,1.25316000720562 52.603493386088,1.25340675030224 52.6033346115154,1.25346448626344 52.603256578612,1.25351741095401 52.6031534957819,1.2536414183963 52.6030727416317,1.25384055275632 52.6029692366132,1.25398255713664 52.602812440825,1.25414901620835 52.6025919550031,1.2543632183722 52.6023082241897,1.25450969749343 52.6021719899858,1.25465193257268 52.6020781423589,1.25480711169826 52.6019596557677,1.25489875867279 52.601860903483,1.25490379658272 52.6018397180315,1.23352382831291 52.5904437060772,1.2253508773705 52.5900813985387,1.21440274587222 52.5939204271233,1.20913753431096 52.5985574473013,1.21379211805906 52.6046845654388,1.21780156000478 52.609960759367,1.23431987884067 52.6170687220987,1.23453440891783 52.6169698923578,1.23476758868171 52.6168457051829,1.23503405154266 52.6167520854387,1.23540924429225 52.6167903968868,1.23546306078024 52.616798818938,1.23550882347571 52.6168182533681,1.23580495440874 52.6169666472502,1.2362124420814 52.6170220605737,1.23670821330004 52.6170723606388,1.23712849876177 52.6170608685013,1.23741892782546 52.6170718127385,1.23785629315735 52.6171515857999,1.23812864485031 52.6172178840815,1.23865923408748 52.617239343741,1.23887452201886 52.6172532396231,1.23910690979548 52.6172585729416,1.23938836109397 52.6173480029244,1.24011613374312 52.6174782795872,1.24048668313972 52.6175535766124,1.24073040970387 52.6176323444574,1.24099629298405 52.617750976721,1.24124495634052 52.6177765457789,1.24149144615595 52.6177527086607,1.24190543343106 52.6176559322065,1.24233499167556 52.6175299479973,1.24335045170371 52.617198859254))",Cringleford
"POLYGON ((1.32444842054369 52.9250498592539,1.31965309916086 52.917266632154,1.32567582073848 52.9118716736266,1.32465656144955 52.902948276152,1.29966379504679 52.9084952160131,1.30031562881203 52.9139586597871,1.27844147886567 52.9209218897888,1.29123181269312 52.9344518983899,1.2923032549686 52.9343583012701,1.29482369350069 52.9340113985427,1.29834687876211 52.9335920532293,1.30071890716424 52.933076461,1.30182125029326 52.9328929204235,1.30193442322839 52.9326199745277,1.30281905768226 52.9321187221684,1.30312803772473 52.9318763002631,1.30665749332686 52.9311215328964,1.30676789432377 52.9308126863951,1.31323255174591 52.9295172681299,1.31320375553857 52.9291403541974,1.31358028934446 52.9290039387419,1.31748732098414 52.9273174583999,1.32051205783113 52.926248071021,1.32296613917519 52.9254626246986,1.32444842054369 52.9250498592539))",Cromer
"POLYGON ((1.37243089415605 52.6976531529652,1.34243068371223 52.6817062116144,1.32038115186531 52.6997493727907,1.35006321930035 52.7111139486112,1.36026692722297 52.7095730827474,1.37243089415605 52.6976531529652))",Crostwick
"POLYGON ((1.10409304767697 52.5900944327668,1.0858405981519 52.5729057871288,1.05639723113378 52.5868444252816,1.07485273697629 52.5978023937735,1.10409304767697 52.5900944327668))",Crownthorpe
"POLYGON ((0.809196953587304 52.4433779774451,0.79657015048093 52.4301635732635,0.783484955902035 52.4331186799194,0.777651473183023 52.4320688142365,0.773142527270939 52.4319588194301,0.757777929351637 52.4347102195999,0.755971250254801 52.4349951486587,0.754349385679763 52.435176824894,0.750449238491787 52.4351597016352,0.747852396486536 52.4348064168902,0.719069051892893 52.4672533118962,0.721946737492377 52.4691444318693,0.758902985085011 52.4830536250231,0.809196953587304 52.4433779774451))",Croxton
"POLYGON ((1.24456869129184 52.3367719460794,1.24902663698293 52.3323699323174,1.24409214320755 52.321325536224,1.21997334082444 52.3112566061322,1.19016928029677 52.3312813618363,1.22792364998443 52.3440637923358,1.24456869129184 52.3367719460794))",Denham
"POLYGON ((1.19016928029677 52.3312813618363,1.21997334082444 52.3112566061322,1.21781352908465 52.3073582655459,1.18246201308746 52.300687144978,1.16843120073072 52.3087739874078,1.17464753973425 52.329696125345,1.17916807005759 52.3317018721228,1.19016928029677 52.3312813618363))",Denham Street
"POLYGON ((1.38252962261711 52.4637322902657,1.38449665171049 52.4501818303235,1.37085034242228 52.434297194792,1.3590806196067 52.4334334535781,1.35123427506407 52.4352716269403,1.32502625438788 52.4543321582828,1.37041688135245 52.4691150735827,1.38252962261711 52.4637322902657))",Denton
"POLYGON ((0.412843123448184 52.5860398522156,0.345813469240801 52.5719317079763,0.339977898009584 52.5728549977369,0.338518064655028 52.5854053793668,0.381263185095915 52.5916395980557,0.394269934548648 52.5966749228567,0.412843123448184 52.5860398522156))",Denver
"POLYGON ((1.04374159417817 52.5677894855175,1.03724230261021 52.5516635259311,1.04077850606878 52.540356922485,1.01201984567696 52.5336990280282,1.0051843563918 52.5333745918348,0.998493051375162 52.5389022526151,0.994671160141086 52.5568626167348,0.993303575335274 52.5632860777827,0.993080766332687 52.5635645440423,1.01420829884905 52.5769685715658,1.0162440086494 52.5771676669835,1.04374159417817 52.5677894855175))",Deopham
"POLYGON ((0.97047121399842 52.6906055709153,0.977160104840226 52.6851578690566,0.97804661980547 52.6779885010217,0.976971992474676 52.6772261462174,0.977064003126932 52.6705822567195,0.964533668621243 52.6733409406743,0.953928850112544 52.6618813674642,0.949621977600408 52.6722895234337,0.945827847787487 52.6710889442635,0.945511655990629 52.6710068767837,0.943202212896681 52.6705426838561,0.93994673345133 52.6703087646344,0.937175034207365 52.6704494587046,0.924800513362062 52.6726864744011,0.924417328941967 52.6727472894801,0.919124420299173 52.6726679497189,0.911793461791526 52.6920574217503,0.929313091888714 52.6994876796069,0.97047121399842 52.6906055709153))",Dereham
"POLYGON ((0.522050005251588 52.8544593613697,0.53174893886431 52.8452442682677,0.556963141913945 52.8372425020822,0.530736806196664 52.8378818058247,0.488670599136762 52.8306875795582,0.44881479951174 52.8609576946823,0.522050005251588 52.8544593613697))",Dersingham
"POLYGON ((1.21602203579512 52.414569631554,1.20583717677946 52.3966441464982,1.20687064391652 52.3896792044987,1.21295388153102 52.3866678292953,1.21271389232875 52.385651033852,1.20418278594841 52.3852156571951,1.19498448036723 52.3851641579012,1.1884246516633 52.3869877488323,1.18610053818218 52.3898688157992,1.16597916957994 52.3938646002351,1.1764429073194 52.4034206948327,1.17172995930559 52.4178331797547,1.21035668457289 52.4178131442148,1.21602203579512 52.414569631554))",Dickleburgh
"POLYGON ((1.48004851090122 52.782712005783,1.47505815623006 52.7751411941752,1.4709708794656 52.7705958670069,1.45196322518887 52.7696257272188,1.43132715861209 52.7717303273668,1.43513599632105 52.7753796246732,1.43877511033494 52.7854717818371,1.46358006922839 52.7881596032303,1.48004851090122 52.782712005783))",Dilham
"POLYGON ((1.13891762089279 52.3841164706629,1.13453714263896 52.3773765526496,1.14032589920292 52.3724981682145,1.13554422894251 52.3663435015873,1.1345488969693 52.3650621218202,1.12763528665675 52.3636386277781,1.12187629729431 52.3643538977622,1.11994051741905 52.364594254355,1.11649601297771 52.3691827471294,1.08890280541405 52.3715237341026,1.08903989936851 52.3718553752404,1.09756255165485 52.3924615840941,1.10179188961294 52.3950270785278,1.11342033991291 52.3961493006248,1.13891762089279 52.3841164706629))",Diss
"POLYGON ((1.47688177575158 52.4675742778827,1.46076352566776 52.4615079396662,1.45744283606102 52.4602576700081,1.45632901582411 52.459027165578,1.43970758963189 52.4610625811638,1.43271055236225 52.463265006083,1.42607692554494 52.4608332343818,1.41264511786787 52.4685609324476,1.43059774861808 52.4837328951127,1.4425731168916 52.4847922922719,1.44387024154993 52.4851778855181,1.47688177575158 52.4675742778827))",Ditchingham
"POLYGON ((0.63676446931444 52.9335618178078,0.646061357753022 52.9305919888471,0.657215612878746 52.9294285568085,0.652425115151563 52.8885611210584,0.607585573798294 52.8865330763939,0.595236583468681 52.8972000346882,0.575694079996002 52.9015000656285,0.563225588341353 52.9178992785041,0.578546129952559 52.9357232037555,0.602953701054464 52.9396166282724,0.63676446931444 52.9335618178078))",Docking
"POLYGON ((0.406169779535112 52.6156762884152,0.424793543516851 52.6163066302305,0.427156891598605 52.5931411027737,0.419440220965801 52.5847711819946,0.412843123448184 52.5860398522156,0.394269934548648 52.5966749228567,0.381263185095915 52.5916395980557,0.338518064655028 52.5854053793668,0.330048369454353 52.5888449238147,0.350371269053843 52.6029892602868,0.354276645947376 52.6171811000773,0.360756191811838 52.6183178500916,0.378289669274249 52.613964380501,0.406169779535112 52.6156762884152))",Downham Market
"POLYGON ((1.24916802413465 52.6759819346439,1.24127100439097 52.6664565200797,1.23429145392991 52.6665012292726,1.22131006788478 52.6665833216662,1.21996884197226 52.6683689985381,1.215633789243 52.6686641908849,1.21787639190857 52.6731278683719,1.21632834197438 52.6750735571968,1.2147048111984 52.6781253763957,1.21517344837716 52.6793880939957,1.21703131059016 52.6825700611978,1.23043962512287 52.6867512417957,1.24916802413465 52.6759819346439))",Drayton
"POLYGON ((1.29858638124644 52.5773875215943,1.2824543554618 52.5683556382166,1.26565426987011 52.5713001959778,1.2644808985647 52.5812386062921,1.2802157819323 52.5891120053003,1.29858638124644 52.5773875215943))",Dunston
"POLYGON ((0.787073079638263 52.8599068766447,0.801247164484256 52.8391299234212,0.788247476292554 52.8240542013587,0.764848410739057 52.8358753682568,0.762378372498243 52.8454183808961,0.779684680205867 52.8606952420036,0.787073079638263 52.8599068766447))",Dunton
"POLYGON ((1.42607692554494 52.4608332343818,1.42549197744349 52.4606187710775,1.42571494863177 52.4574710559353,1.42920285818413 52.455068984613,1.42985181779324 52.4311496829138,1.4048162029655 52.4416593699825,1.37431319926754 52.4300805126684,1.37085034242228 52.434297194792,1.38449665171049 52.4501818303235,1.38252962261711 52.4637322902657,1.41264511786787 52.4685609324476,1.42607692554494 52.4608332343818))",Earsham
"POLYGON ((1.22956757863791 52.9226432616816,1.22526439372736 52.9078013656077,1.20078672011348 52.9024075806263,1.19611418766445 52.9218347497355,1.20655966520689 52.9267025506343,1.21397990262013 52.9268022625171,1.22956757863791 52.9226432616816))",East Beckham
"POLYGON ((0.911804963903232 52.7466363904664,0.900391117732594 52.7235310896813,0.892762082742483 52.7216962051707,0.867672930718409 52.7340612461968,0.891001505486691 52.7459077065575,0.911212090491537 52.7474458759461,0.911804963903232 52.7466363904664))",East Bilney
